experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
SE,FT,Data Scientist,205000,North America,0,North America,M
MI,FT,Data Analyst,202800,North America,0,North America,M
MI,FT,Data Analyst,73819,North America,100,North America,M
MI,FT,Data Engineer,94444,Europe,0,Europe,M
SE,FT,Software Engineer,186688,North America,0,North America,M
EN,FT,Data Analyst,66820,North America,0,North America,M
SE,FT,Software Engineer,320500,North America,0,North America,M
MI,FT,Manager,61267,North America,0,North America,M
EX,FT,Software Engineer,150000,North America,0,North America,M
SE,FT,Engineer,131000,North America,100,North America,M
SE,FT,Research Scientist,98576,North America,0,North America,M
SE,FT,Manager,199320,North America,0,North America,M
SE,FT,Machine Learning Engineer,232200,North America,0,North America,M
SE,FT,Data Scientist,165000,North America,0,North America,M
MI,FT,Software Engineer,175000,North America,0,North America,M
MI,FT,Data Engineer,144000,North America,0,North America,L
SE,FT,Data Analyst,114750,North America,100,North America,M
SE,FT,Machine Learning Engineer,195700,North America,0,North America,M
SE,FT,Data Engineer,314400,North America,0,North America,M
SE,FT,Data Scientist,204800,North America,0,North America,M
SE,FT,Data Engineer,258960,North America,0,North America,M
SE,FT,Data Engineer,123365,North America,0,North America,M
EN,FT,Data Analyst,57800,North America,0,North America,M
SE,FT,Analyst,121200,North America,0,North America,M
SE,FT,Software Engineer,200000,North America,100,North America,M
SE,FT,Data Engineer,165000,North America,0,North America,M
MI,FT,Data Scientist,179551,North America,0,North America,M
MI,FT,Software Engineer,166750,North America,0,North America,M
SE,FT,Machine Learning Engineer,184900,North America,100,North America,M
SE,FT,Data Engineer,127500,North America,0,North America,M
SE,FT,Data Analyst,150000,North America,0,North America,M
MI,FT,Data Engineer,163000,North America,0,North America,M
MI,FT,Machine Learning Engineer,54000,North America,0,North America,M
SE,FT,Software Engineer,132000,North America,0,North America,M
SE,FT,Manager,179000,North America,0,North America,M
SE,FT,Data Analyst,230000,North America,100,North America,M
MI,FT,Data Engineer,53877,South America,100,South America,M
SE,FT,Data Architect,100000,North America,100,North America,M
SE,FT,Data Scientist,65333,Europe,0,Europe,M
SE,FT,Data Analyst,148500,North America,0,North America,M
MI,FT,Software Engineer,224500,North America,0,North America,M
MI,FT,Data Scientist,75705,North America,0,North America,M
SE,FT,Manager,193000,North America,0,North America,M
MI,FT,Manager,200000,North America,0,North America,M
MI,FT,Data Scientist,113000,North America,0,North America,M
SE,FT,Data Architect,269100,North America,0,North America,M
SE,FT,Data Engineer,136032,North America,100,North America,M
SE,FT,Data Scientist,237188,North America,100,North America,M
SE,FT,Data Analyst,150416,Oceania,0,Oceania,M
EN,FT,Machine Learning Engineer,112000,North America,0,North America,M
SE,FT,Machine Learning Engineer,167200,North America,0,North America,M
SE,FT,Research Scientist,165800,North America,0,North America,M
SE,FT,Data Scientist,153000,Oceania,0,Oceania,M
MI,FT,Data Scientist,187158,North America,0,North America,M
MI,FT,Machine Learning Engineer,214500,North America,0,North America,M
SE,FT,Data Architect,101400,North America,0,North America,M
MI,FT,Engineer,234700,North America,0,North America,M
SE,FT,Data Scientist,314000,North America,0,North America,M
EN,FT,Engineer,57146,Europe,0,Europe,M
EN,FT,Machine Learning Engineer,99000,North America,0,North America,M
SE,FT,Data Analyst,64900,North America,0,North America,M
EX,FT,Data Engineer,233100,North America,0,North America,M
SE,FT,Manager,90000,North America,0,North America,M
MI,FT,Manager,104800,North America,0,North America,M
SE,FT,Software Engineer,184200,North America,0,North America,M
MI,FT,Software Engineer,166500,North America,100,North America,M
SE,FT,Data Engineer,56250,Europe,0,Europe,M
SE,FT,Engineer,106700,North America,0,North America,M
SE,FT,Data Scientist,127500,North America,0,North America,M
MI,FT,Manager,130104,Oceania,0,Oceania,M
SE,FT,Data Architect,312600,North America,100,North America,M
SE,FT,Data Scientist,159000,North America,100,North America,M
SE,FT,Machine Learning Engineer,290000,North America,0,North America,M
MI,FT,Software Engineer,106250,North America,0,North America,M
SE,FT,Machine Learning Engineer,283780,North America,0,North America,M
MI,FT,Data Scientist,164314,North America,100,North America,M
SE,FT,Data Analyst,88500,North America,0,North America,M
SE,FT,Data Analyst,113734,North America,0,North America,M
SE,FT,Data Scientist,200500,North America,0,North America,M
EN,FT,Data Analyst,43750,Europe,0,Europe,M
EN,FT,Data Analyst,80142,Europe,0,Europe,M
SE,FT,Analyst,62000,North America,100,North America,M
SE,FT,Data Engineer,236900,North America,0,North America,M
EN,PT,Data Engineer,45400,North America,0,North America,M
MI,FT,Manager,231110,North America,0,North America,M
